length, selection, insertion, merge
10, 45, 17, 21
25, 300, 41, 71
40, 780, 63, 122
55, 1485, 87, 184
70, 2415, 121, 251
85, 3570, 129, 311
100, 4950, 155, 371
115, 6555, 177, 444
130, 8385, 201, 499
145, 10440, 229, 580
160, 12720, 241, 661
175, 15225, 273, 744
190, 17955, 299, 806
205, 20910, 323, 879
220, 24090, 351, 963
235, 27495, 367, 1021
250, 31125, 403, 1088
265, 34980, 413, 1173
280, 39060, 443, 1257
295, 43365, 467, 1348
310, 47895, 495, 1433
325, 52650, 515, 1516
340, 57630, 523, 1591
355, 62835, 563, 1685
370, 68265, 573, 1762
385, 73920, 611, 1827
400, 79800, 633, 1917
415, 85905, 675, 2011
430, 92235, 669, 2078
445, 98790, 713, 2148
460, 105570, 733, 2229
475, 112575, 755, 2301
490, 119805, 769, 2366
505, 127260, 809, 2444
520, 134940, 785, 2498
535, 142845, 849, 2636
550, 150975, 863, 2747
565, 159330, 893, 2840
580, 167910, 917, 2937
595, 176715, 917, 3012
610, 185745, 957, 3123
625, 195000, 981, 3213
640, 204480, 1021, 3276
655, 214185, 1015, 3381
670, 224115, 1061, 3467
685, 234270, 1087, 3581
700, 244650, 1091, 3650
715, 255255, 1121, 3721
730, 266085, 1159, 3827
745, 277140, 1173, 3913
760, 288420, 1217, 3971
775, 299925, 1239, 4053
790, 311655, 1229, 4142
805, 323610, 1293, 4250
820, 335790, 1269, 4346
835, 348195, 1307, 4443
850, 360825, 1333, 4540
865, 373680, 1355, 4604
880, 386760, 1389, 4697
895, 400065, 1441, 4776
910, 413595, 1429, 4850
925, 427350, 1451, 4958
940, 441330, 1483, 5014
955, 455535, 1483, 5095
970, 469965, 1501, 5177
985, 484620, 1541, 5257
1000, 499500, 1561, 5320
1015, 514605, 1571, 5375
1030, 529935, 1605, 5475
1045, 545490, 1697, 5634
1060, 561270, 1689, 5719
1075, 577275, 1683, 5844
1090, 593505, 1735, 5943
1105, 609960, 1733, 6055
1120, 626640, 1749, 6166
1135, 643545, 1795, 6271
1150, 660675, 1799, 6352
1165, 678030, 1813, 6476
1180, 695610, 1861, 6578
1195, 713415, 1907, 6693
1210, 731445, 1879, 6764
1225, 749700, 1899, 6871
1240, 768180, 1939, 6968
