length, selection, insertion, merge
10, 45, 43, 22
25, 300, 187, 90
40, 780, 419, 162
55, 1485, 848, 253
70, 2415, 1297, 343
85, 3570, 1510, 435
100, 4950, 2795, 536
115, 6555, 3236, 646
130, 8385, 4527, 751
145, 10440, 5762, 864
160, 12720, 6407, 969
175, 15225, 8392, 1089
190, 17955, 8591, 1202
205, 20910, 11136, 1313
220, 24090, 11735, 1445
235, 27495, 14421, 1567
250, 31125, 15969, 1677
265, 34980, 18180, 1814
280, 39060, 18370, 1927
295, 43365, 21554, 2050
310, 47895, 24647, 2188
325, 52650, 26636, 2315
340, 57630, 28603, 2444
355, 62835, 30709, 2566
370, 68265, 34565, 2712
385, 73920, 37309, 2835
400, 79800, 39010, 2961
415, 85905, 40552, 3088
430, 92235, 47370, 3213
445, 98790, 48368, 3363
460, 105570, 50673, 3500
475, 112575, 54790, 3627
490, 119805, 57779, 3759
505, 127260, 69386, 3886
520, 134940, 69753, 4014
535, 142845, 71317, 4186
550, 150975, 73736, 4332
565, 159330, 79393, 4471
580, 167910, 84478, 4637
595, 176715, 88362, 4752
610, 185745, 93546, 4896
625, 195000, 97327, 5038
640, 204480, 107305, 5202
655, 214185, 109495, 5302
670, 224115, 110506, 5438
685, 234270, 116073, 5605
700, 244650, 121066, 5729
715, 255255, 132655, 5918
730, 266085, 130217, 6043
745, 277140, 135592, 6189
760, 288420, 136778, 6327
775, 299925, 147805, 6471
790, 311655, 154481, 6598
805, 323610, 159638, 6807
820, 335790, 167698, 6930
835, 348195, 174076, 7071
850, 360825, 182381, 7204
865, 373680, 185585, 7341
880, 386760, 192022, 7495
895, 400065, 202060, 7682
910, 413595, 214376, 7825
925, 427350, 216331, 7959
940, 441330, 217297, 8132
955, 455535, 238691, 8273
970, 469965, 239349, 8416
985, 484620, 239041, 8546
1000, 499500, 257781, 8709
1015, 514605, 262834, 8844
1030, 529935, 257285, 8995
1045, 545490, 281512, 9160
1060, 561270, 284857, 9289
1075, 577275, 287410, 9480
1090, 593505, 294463, 9629
1105, 609960, 304524, 9776
1120, 626640, 317427, 9973
1135, 643545, 326020, 10146
1150, 660675, 327553, 10267
1165, 678030, 343889, 10424
1180, 695610, 358091, 10563
1195, 713415, 356347, 10752
1210, 731445, 362094, 10884
1225, 749700, 387982, 11004
1240, 768180, 383033, 11196
